Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Jewish Congregation,n/a,n/a,Agudath Achim Anshe Sfard Sisterhood,Jewish Organizations and Institutions,Jewish,full address provided,2330 Carondolet St.,"New Orleans, Louisiana",70130,"2330 Carondolet St. New Orleans, Louisiana 70130",29.9336995,-90.0829407
Jewish Congregation,n/a,n/a,Beth Israel Sisterhood,Jewish Organizations and Institutions,Jewish,full address provided,1616 Carondelet St.,"New Orleans, Louisiana",70130,"1616 Carondelet St. New Orleans, Louisiana 70130",29.9385703,-90.0772682
Jewish Congregation,n/a,n/a,Communal Hebrew School,Jewish Organizations and Institutions,Jewish,full address provided,1630 Josephine St.,"New Orleans, Louisiana",70130,"1630 Josephine St. New Orleans, Louisiana 70130",29.9352929,-90.0803892
Jewish Congregation,n/a,n/a,District Grand Lodge No. 7 B'nai B'rith,Jewish Organizations and Institutions,Jewish,330 Whitney Bank Bldg.,228 St. Charles Ave.,"New Orleans, Louisiana",70130,"228 St. Charles Ave. New Orleans, Louisiana 70130",29.951766,-90.0697497
Jewish Congregation,n/a,n/a,Gates of Prayer Sisterhood,Jewish Organizations and Institutions,Jewish,full address provided,1139 Napoleon Ave.,"New Orleans, Louisiana",70115,"1139 Napoleon Ave. New Orleans, Louisiana 70115",29.923554,-90.1012205
Jewish Congregation,n/a,n/a,Isidore Newman School,Jewish Organizations and Institutions,Jewish,full address provided,1831 Jefferson Ave.,"New Orleans, Louisiana",70115,"1831 Jefferson Ave. New Orleans, Louisiana 70115",29.9313656,-90.1121824
Jewish Congregation,n/a,n/a,Jewish Charitable and Educational Federation,Jewish Organizations and Institutions,Jewish,303 Stern Bldg.,348 Barrone St. ,"New Orleans, Louisiana",70112,"348 Barrone St.  New Orleans, Louisiana 70112",29.9511354,-90.0726308
Jewish Congregation,n/a,n/a,Jewish Children's Home,Jewish Organizations and Institutions,Jewish,full address provided,5342 St. Charles Ave.,"New Orleans, Louisiana",70115,"5342 St. Charles Ave. New Orleans, Louisiana 70115",29.927357,-90.112895
Jewish Congregation,n/a,n/a,Ladies Rachael Benevolent Association,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
Jewish Congregation,n/a,n/a,League of Jewish Women's Organizations,Jewish Organizations and Institutions,Jewish,full address provided,1807 Palmer Ave.,"New Orleans, Louisiana",70118,"1807 Palmer Ave. New Orleans, Louisiana 70118",29.9343926,-90.1182865
Jewish Congregation,n/a,n/a,Menorah Institute,Jewish Organizations and Institutions,Jewish,full address provided,1629 Euterpe St.,"New Orleans, Louisiana",70130,"1629 Euterpe St. New Orleans, Louisiana 70130",29.9382927,-90.077213
Jewish Congregation,n/a,n/a,Mizrachi Organization,Jewish Organizations and Institutions,Jewish,full address provided,1629 Euterpe St.,"New Orleans, Louisiana",70130,"1629 Euterpe St. New Orleans, Louisiana 70130",29.9382927,-90.077213
Jewish Congregation,n/a,n/a,Mosean Fraternity,Jewish Organizations and Institutions,Jewish,full address provided,1654 Clio St.,"New Orleans, Louisiana",70130,"1654 Clio St. New Orleans, Louisiana 70130",29.9418576,-90.0750305
Jewish Congregation,n/a,n/a,"National Council of Jewish Women, New Orleans Section",Jewish Organizations and Institutions,Jewish,full address provided,472 Lowerline St.,"New Orleans, Louisiana",70118,"472 Lowerline St. New Orleans, Louisiana 70118",29.936609,-90.1299573
Jewish Congregation,n/a,n/a,New Orleans Chapter Senior Hadassah,Jewish Organizations and Institutions,Jewish,full address provided,2207 Carondelet St.,"New Orleans, Louisiana",70130,"2207 Carondelet St. New Orleans, Louisiana 70130",29.9348854,-90.0818129
Jewish Congregation,n/a,n/a,New Orleans Lodge No. l82 B'nai B'rith,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
Jewish Congregation,n/a,n/a,New Orleans Unit Junior Hadassah,Jewish Organizations and Institutions,Jewish,full address provided,2231 Marengo St.,"New Orleans, Louisiana",70115,"2231 Marengo St. New Orleans, Louisiana 70115",29.9333971,-90.0989566
Jewish Congregation,n/a,n/a,New Orleans Zionist District,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
Jewish Congregation,n/a,n/a,Temple Sinai Sisterhood,Jewish Organizations and Institutions,Jewish,full address provided,6221 St. Charles Ave.,"New Orleans, Louisiana",70118,"6221 St. Charles Ave. New Orleans, Louisiana 70118",29.9329508,-90.1199087
Jewish Congregation,n/a,n/a,Touro Infirmary,Jewish Organizations and Institutions,Jewish,full address provided,3516 Prytania St.,"New Orleans, Louisiana",70115,"3516 Prytania St. New Orleans, Louisiana 70115",29.9263375,-90.0923952
Jewish Congregation,n/a,n/a,Touro Synagogue Sisterhood,Jewish Organizations and Institutions,Jewish,full address provided,4238 St. Charles Ave.,"New Orleans, Louisiana",70115,"4238 St. Charles Ave. New Orleans, Louisiana 70115",29.9260397,-90.1004535
Jewish Congregation,n/a,n/a,Young Judean Council of New Orleans,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
Jewish Congregation,n/a,n/a,Young Men's and Young Women's Hebrew Association of New Orleans,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
Jewish Congregation,n/a,n/a,Zionists Council,Jewish Organizations and Institutions,Jewish,full address provided,1634 Clio St. ,"New Orleans, Louisiana",70130,"1634 Clio St.  New Orleans, Louisiana 70130",29.9415987,-90.0747497
